start_id,end_id,start_date,end_date
Q7251,Q867530,,
Q7251,Q220798,,
Q7251,Q35794,,
Q7251,Q1967606,,
Q16493,Q180865,,
Q16493,Q1420038,,05/08/1972 00:00:00
Q92741,Q21578,,
Q92741,Q174710,,
Q224372,Q155921,,
Q224372,Q220798,,
Q224372,Q65379,,
Q224372,Q230899,,
Q224372,Q4683781,,
Q224372,Q1665138,,
Q224372,Q73079,,
Q298521,Q1024543,,
